year,month,day,avg_temp
2013,8,29,20.0
2013,8,30,20.5
2013,8,31,21.5
2013,9,1,18.5
2013,9,2,19.0
2013,9,3,17.5
2013,9,4,19.0
2013,9,5,20.0
2013,9,6,20.0
2013,9,7,22.5
2013,9,8,21.5
2013,9,9,15.5
2013,9,10,20.0
2013,9,11,17.0
2013,9,12,16.0
2013,9,13,14.5
2013,9,14,13.0
2013,9,15,19.0
2013,9,16,20.0
2013,9,17,10.0
2013,9,18,14.0
2013,9,19,13.0
2013,9,20,14.5
2013,9,21,14.0
2013,9,23,16.5
2013,9,24,16.5
2013,9,25,18.5
2013,9,26,17.5
2013,9,27,13.0
2013,9,28,14.0
2013,9,29,13.0
2013,9,30,11.5
2013,10,1,12.0
2013,10,2,9.0
2013,10,3,9.0
2013,10,4,9.0
2013,10,5,9.0
2013,10,6,12.5
2013,10,7,13.5
2013,10,8,15.0
2013,10,9,14.5
2013,10,10,15.0
2013,10,11,16.0
2013,10,12,18.0
2013,10,13,17.0
2013,10,14,17.5
2013,10,15,15.5
2013,10,16,10.0
2013,10,17,12.0
2013,10,18,11.5
2013,10,19,11.0
2013,10,20,14.5
2013,10,21,18.0
2013,10,22,18.0
2013,10,23,19.0
2013,10,24,18.0
2013,10,25,18.5
2013,10,26,19.0
2013,10,27,17.5
2013,10,28,16.5
2013,10,29,14.5
2013,10,30,13.5
2013,10,31,12.0
2013,11,1,12.5
2013,11,2,15.0
2013,11,3,13.0
2013,11,4,12.0
2013,11,5,10.0
2013,11,6,10.5
2013,11,7,13.0
2013,11,8,13.5
2013,11,9,13.5
2013,11,10,10.0
2013,11,11,7.5
2013,11,12,8.5
2013,11,13,8.0
2013,11,14,7.5
2013,11,15,8.0
2013,11,16,9.5
2013,11,17,9.0
2013,11,18,6.0
2013,11,19,7.5
2013,11,20,6.5
2013,11,21,7.0
2013,11,22,9.0
2013,11,23,9.0
2013,11,24,6.0
2013,11,25,0.5
2013,11,26,1.0
2013,11,27,1.0
2013,11,28,0.5
2013,11,29,2.5
2013,11,30,3.0
2013,12,1,2.5
2013,12,2,3.5
2013,12,3,1.0
2013,12,4,1.0
2013,12,5,2.0
2013,12,6,1.5
2013,12,7,1.0
2013,12,8,2.0
2013,12,9,4.0
2013,12,10,1.5
2013,12,11,2.0
2013,12,12,4.5
2013,12,13,2.5
2013,12,14,3.0
2013,12,15,1.5
2013,12,16,2.0
2013,12,17,0.5
2013,12,18,0.5
2013,12,19,-1.5
2013,12,20,0.5
2013,12,21,1.0
2013,12,22,1.0
2013,12,23,2.5
2013,12,24,3.0
2013,12,25,4.0
2013,12,26,4.5
2013,12,27,5.0
2013,12,28,6.0
2013,12,29,5.5
2013,12,30,4.5
2013,12,31,2.5
2014,1,1,2.0
2014,1,2,2.0
2014,1,3,5.0
2014,1,4,6.0
2014,1,5,8.0
2014,1,6,6.0
2014,1,7,6.5
2014,1,8,6.0
2014,1,9,5.5
2014,1,10,5.5
2014,1,11,6.0
2014,1,12,3.5
2014,1,13,4.0
2014,1,14,3.5
2014,1,15,3.0
2014,1,16,3.5
2014,1,17,7.5
2014,1,18,7.5
2014,1,19,8.0
2014,1,20,8.0
2014,1,21,6.5
2014,1,22,3.0
2014,1,23,1.5
2014,1,24,0.0
2014,1,25,-3.0
2014,1,26,-6.0
2014,1,27,-6.5
2014,1,28,-2.5
2014,1,29,-4.0
2014,1,30,-2.0
2014,1,31,-2.5
2014,2,1,-2.5
2014,2,2,-0.5
2014,2,3,-0.5
2014,2,4,-2.5
2014,2,5,-1.5
2014,2,6,1.0
2014,2,7,2.5
2014,2,8,4.5
2014,2,9,4.5
2014,2,10,5.5
2014,2,11,5.5
2014,2,12,6.5
2014,2,13,4.5
2014,2,14,4.0
2014,2,15,4.5
2014,2,16,7.5
2014,2,17,5.5
2014,2,18,7.0
2014,2,19,7.5
2014,2,20,8.0
2014,2,21,7.5
2014,2,22,6.5
2014,2,23,7.5
2014,2,24,6.5
2014,2,25,7.5
2014,2,26,8.0
2014,2,27,9.0
2014,2,28,6.5
2014,3,1,7.0
2014,3,2,8.5
2014,3,3,8.5
2014,3,4,9.0
2014,3,5,10.5
2014,3,6,9.5
2014,3,7,9.5
2014,3,8,10.0
2014,3,9,8.5
2014,3,10,8.0
2014,3,11,12.5
2014,3,12,11.5
